Precinct,1st Choice,2nd Choice,3rd Choice,count
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,John Hayden,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,UWI,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-01,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-01,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-10,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-09,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-09,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-08,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-08,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-08,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-08,John Hayden,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-08,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-08,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-08,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-08,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-01,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-01,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-01,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-01,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-01,John Hayden,Jillia Pessenda,Jillia Pessenda,1
MINNEAPOLIS W-1 P-01,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-01,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-01,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-01,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-01,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-01,Jillia Pessenda,Jillia Pessenda,Jillia Pessenda,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-04,John Hayden,Jillia Pessenda,Kevin Reich,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-04,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,Kevin Reich,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-04,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-04,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-04,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,John Hayden,UWI,1
MINNEAPOLIS W-1 P-04,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,John Hayden,UWI,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-10,Kevin Reich,UWI,UWI,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-07,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-07,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-01,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Kevin Reich,Jillia Pessenda,UWI,1
MINNEAPOLIS W-1 P-04,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-02,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Kevin Reich,Kevin Reich,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,Kevin Reich,1
MINNEAPOLIS W-1 P-02,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-05,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-05,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-05,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-05,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-05,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-05,John Hayden,Kevin Reich,Jillia Pessenda,1
MINNEAPOLIS W-1 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-05,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-05,John Hayden,John Hayden,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-05,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-05,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-05,John Hayden,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-05,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-05,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-03,John Hayden,Kevin Reich,Jillia Pessenda,1
MINNEAPOLIS W-1 P-03,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-03,John Hayden,Kevin Reich,Jillia Pessenda,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,John Hayden,UWI,1
MINNEAPOLIS W-1 P-02,John Hayden,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-02,John Hayden,John Hayden,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-02,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-02,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-02,John Hayden,Kevin Reich,Jillia Pessenda,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,John Hayden,Jillia Pessenda,Kevin Reich,1
MINNEAPOLIS W-1 P-02,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-02,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-03,John Hayden,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-03,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-03,John Hayden,Kevin Reich,Jillia Pessenda,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-03,John Hayden,Jillia Pessenda,Kevin Reich,1
MINNEAPOLIS W-1 P-03,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-03,Jillia Pessenda,overvote,Kevin Reich,1
MINNEAPOLIS W-1 P-03,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-05,Kevin Reich,John Hayden,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,John Hayden,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,undervote,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,UWI,UWI,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Kevin Reich,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,UWI,UWI,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,John Hayden,Kevin Reich,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,John Hayden,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,UWI,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,UWI,UWI,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,UWI,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,UWI,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,John Hayden,Kevin Reich,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Jillia Pessenda,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,UWI,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,John Hayden,Jillia Pessenda,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,undervote,1
MINNEAPOLIS W-1 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,Kevin Reich,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Jillia Pessenda,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Kevin Reich,Jillia Pessenda,John Hayden,1
MINNEAPOLIS W-1 P-06,Kevin Reich,John Hayden,Kevin Reich,1
MINNEAPOLIS W-1 P-06,Kevin Reich,undervote,undervote,1
